Lp,Data dokonania wpisu,Postanowienie wzorca umowy uznane za niedozwolone,niedozwolone_regex
6488,1 VII 16,"""Sklep zwraca wyłącznie cenę zakupionego towaru, bez uwzględnienia kosztów przesyłki""","""Sklep zwraca wyłącznie cenę zakupionego towaru, bez uwzględnienia kosztów przesyłki"""
6491,4 VII 16,"""…Uwaga! Jeżeli Państwo nie dochowają powyżej przedstawionych procedur reklamacyjnych i nie zostanie wykonany wspólnie z przewoźnikiem protokół szkodowy na okoliczność uszkodzeń mechanicznych, droga reklamacji zostanie zamknięta. Przyjęcie przez Państwa przesyłki bez zastrzeżeń powoduje wygaśnięcie roszczeń z tytułu ubytku, niezgodności lub uszkodzenia. Potwierdzając odbór Kupujący uzyskuje prawo własności towaru oraz wszelkie ryzyka związane z posiadaniem i użytkowaniem towaru""",""".*Jeżeli Państwo nie dochowają powyżej przedstawionych procedur reklamacyjnych i nie zostanie wykonany wspólnie z przewoźnikiem protokół szkodowy na okoliczność uszkodzeń mechanicznych, droga reklamacji zostanie zamknięta. Przyjęcie przez Państwa przesyłki bez zastrzeżeń powoduje wygaśnięcie roszczeń z tytułu ubytku, niezgodności lub uszkodzenia. Potwierdzając odbór Kupujący uzyskuje prawo własności towaru oraz wszelkie ryzyka związane z posiadaniem i użytkowaniem towaru"""
6492,4 VII 16,"""Klient zobowiązany jest do dostarczenia wskazanego w formularzu towaru w ciągu 7 dni kalendarzowych od dnia otrzymania numeru zwrotu""","""Klient zobowiązany jest do dostarczenia wskazanego w formularzu towaru w ciągu.*od dnia otrzymania numeru zwrotu"""
6494,4 VII 16,"""Wszelkie spory ze sprzedawcą, powstałe w związku z funkcjonowaniem sklepu internetowego P.P.H. Kosmed®Zbigniew Leżański, będą rozstrzygane prze sąd powszechny właściwy dla siedziby Sprzedawcy""","""Wszelkie spory ze sprzedawcą, powstałe w związku z funkcjonowaniem sklepu.*będą rozstrzygane prze sąd powszechny właściwy dla siedziby Sprzedawcy"""
6495,20 VII 16,"""Nie odpowiadamy za opóźnienia w dostawie przesyłek przez firmy kurierskie""","""Nie odpowiadamy za opóźnienia w dostawie przesyłek przez firmy kurierskie"""
6497,20 VII 16,"""Sądem właściwym do rozpatrywania sporów wynikłych z zawarcia umowy sprzedaży jest sąd właściwy dla miejsca siedziby Sprzedającego""","""Sądem właściwym do rozpatrywania sporów wynikłych z zawarcia umowy sprzedaży jest sąd właściwy dla miejsca siedziby Sprzedającego"""
6498,20 VII 16,"""W sprawach nieuregulowanych niniejszym Regulaminem zastosowanie mają przepisy Kodeksu Cywilnego""","""W sprawach nieuregulowanych niniejszym Regulaminem zastosowanie mają przepisy Kodeksu Cywilnego"""
6499,22 VII 16,"""Towar podlegający zwrotowi należy odesłać razem z otrzymaną wraz z nim fakturą VAT. Sklep gwarantuje zwrot kwoty równej cenie produktu, nie przesyłki""","""Towar podlegający zwrotowi należy odesłać razem z otrzymaną wraz z nim fakturą VAT. Sklep gwarantuje zwrot kwoty równej cenie produktu, nie przesyłki"""
6500,22 VII 16,"""Zwracany lub reklamowany towar należy przysłać do nas tylko i wyłącznie za pośrednictwem Poczty Polskiej""","""Zwracany lub reklamowany towar należy przysłać do nas tylko i wyłącznie za pośrednictwem.*"""
6501,22 VII 16,"""Właściciel Sklepu zastrzega sobie prawo do jednostronnej zmiany postanowień niniejszego Regulaminu w każdej chwili i bez konieczności uzasadniania przyczyny""","""Właściciel Sklepu zastrzega sobie prawo do jednostronnej zmiany postanowień niniejszego Regulaminu w każdej chwili i bez konieczności uzasadniania przyczyny"""
6502,22 VII 16,"""Klient może zrezygnować z towaru kupionego w sklepie bez podania przyczyny w przeciągu 10 dni od daty odebrania przesyłki""","""Klient może zrezygnować z towaru kupionego w sklepie bez podania przyczyny w przeciągu.*od daty odebrania przesyłki"""
6506,22 VII 16,"""Firma OSKAR PHUP uwzględnia reklamacje z tytułu rękojmi za wady ukryte w uzadanionych przypadkach, koszt dostawy do firmy OSKAR ponosi Kupujący""",""".*uwzględnia reklamacje z tytułu rękojmi za wady ukryte w uzadanionych przypadkach, koszt dostawy do firmy.*ponosi Kupujący"""
