Nazwa_regex," Numer identyfikujący podmiot (KRS, NIP lub REGON)"
 Alkor Trade Sp. z o.o.,KRS 371362
Amber Gold Sp. z o.o.,"KRS 322228"
Anderson Holding Polska Sp. z o.o.,KRS 416988
ARTGOL Mobilny Serwis Komputerowy Artur Golo, NIP 9531580331
Auron Group Sp. z o.o. ,KRS 392274
Bezpieczne Inwestycje Sp. z o.o.,KRS 391211
Bio-Investor Ltd,""
Blue Chip Kamil Chwiedosik,NIP 9661358861
CareCash Sp. z o.o.,KRS 350638
Carwash Investment Sp. z o.o.,KRS 327890
Centrum Inwestycyjno-Oddłużeniowe Sp. z o.o.,KRS 384178
